,PULocationID,DOLocationID
977,13,231
978,231,141
979,144,107
980,107,262
981,236,238
982,236,229
983,229,170
984,43,164
985,164,148
986,79,137
987,90,90
988,249,164
989,148,79
990,79,170
991,164,233
992,113,249
993,125,263
994,263,141
995,229,249
996,249,79
997,262,79
998,79,234
999,43,48
1000,48,116
1001,229,68
1002,68,79
1003,114,233
1004,142,142
1005,142,24
1006,24,143
1007,143,239
1008,79,90
1009,249,170
1010,170,125
1011,79,162
1012,137,170
1013,234,162
1014,164,148
1015,148,43
1016,163,161
1017,234,144
1018,211,48
1019,48,170
1020,209,79
1021,79,164
1022,234,140
1023,90,238
1024,43,166
1025,151,236
1026,45,90
1027,158,161
1028,161,237
1029,161,68
1030,246,170
1031,142,239
1032,239,166
1033,151,141
1034,239,48
1035,142,262
1036,263,75
1037,231,170
1038,236,140
1039,140,163
1040,237,262
1041,263,75
1042,170,161
1043,236,237
1044,237,170
1045,170,141
1046,148,79
1047,79,107
1048,100,164
1049,234,90
1050,43,229
1051,43,140
1052,141,48
1053,234,68
1054,68,261
1055,140,263
1056,75,41
1057,237,162
1058,161,249
1059,233,141
1060,141,262
1061,237,238
1062,142,263
1063,68,151
1064,151,142
1065,142,243
1066,170,79
1067,234,236
1068,236,229
1069,140,75
1070,137,229
1071,229,43
1072,163,170
1073,137,262
1074,137,263
1075,236,244
1076,114,262
1077,263,239
1078,229,164
1079,186,125
1080,125,229
1081,142,238
1082,143,238
1083,238,239
1084,239,43
1085,148,211
1086,211,162
1087,236,239
1088,238,143
1089,239,238
1090,237,229
1091,162,114
1092,144,161
1093,161,13
1094,261,50
1095,50,246
1096,263,237
1097,237,43
1098,142,239
1099,143,48
1100,48,238
1101,238,151
1102,237,140
1103,141,262
1104,141,151
1105,238,74
1106,231,158
1107,158,231
1108,231,68
1109,186,148
1110,249,148
1111,148,141
1112,229,162
1113,162,236
1114,43,232
1115,148,229
1116,234,4
1117,4,79
1118,79,231
1119,125,233
1120,43,162
1121,163,141
1122,161,140
1123,151,166
1124,79,170
1125,170,231
1126,211,246
1127,246,246
1128,232,75
1129,90,236
1130,237,236
1131,48,87
1132,209,125
1133,249,158
1134,137,90
1135,249,137
1136,246,164
1137,107,114
1138,170,90
1139,161,140
1140,237,43
1141,238,262
1142,262,75
1143,75,263
1144,263,170
1145,234,230
1146,162,141
1147,141,75
1148,263,151
1149,151,238
1150,238,74
1151,239,166
1152,151,48
1153,48,239
1154,236,239
1155,142,50
1156,50,142
1157,142,68
1158,239,262
1159,249,232
1160,148,137
1161,137,137
1162,229,233
1163,229,142
1164,142,229
1165,229,137
1166,144,13
1167,231,127
1168,43,239
1169,237,142
1170,142,238
1171,238,239
1172,239,42
1173,48,143
1174,142,140
1175,237,140
1176,141,79
1177,107,75
1178,239,161
1179,79,68
1180,68,211
1181,211,141
1182,163,231
1183,231,161
1184,229,263
1185,263,75
1186,237,236
1187,90,114
1188,114,237
1189,43,137
1190,79,263
1191,263,239
1192,239,68
1193,90,68
1194,68,41
1195,79,161
1196,163,236
1197,237,142
1198,263,166
1199,166,244
1200,151,116
1201,237,143
1202,142,166
1203,151,166
1204,238,151
1205,239,239
1206,239,13
1207,13,231
1208,142,143
1209,142,114
1210,246,246
1211,249,48
1212,142,151
1213,238,143
1214,143,239
1215,238,74
1216,48,262
1217,239,151
1218,153,127
1219,237,239
1220,142,224
1221,234,141
1222,79,170
1223,170,239
1224,249,151
1225,151,233
1226,158,148
1227,148,144
1228,144,261
1229,236,238
1230,166,41
1231,107,170
1232,162,246
1233,161,234
1234,237,237
1235,237,236
1236,162,158
1237,234,186
1238,237,236
1239,163,164
1240,249,90
1241,234,148
1242,148,114
1243,114,141
1244,141,231
1245,231,79
1246,238,151
1247,151,141
1248,141,170
1249,170,137
1250,137,68
1251,87,170
1252,161,137
1253,170,224
1254,114,249
1255,113,87
1256,87,140
1257,249,13
1258,231,244
1259,249,79
1260,90,170
1261,237,163
1262,45,164
1263,164,164
1264,164,164
1265,186,68
1266,249,239
1267,87,13
1268,13,162
1269,233,161
